ID,First Name,Last Name,Age,,,,,,,,
1,John,Smith,25,,,,,,,,
2,Jane,Doe,30,,,,,,,,
3,Michael,Johnson,22,,,,,,,,
4,Emily,Brown,28,,U1. sortera excel datan så de kommer i nummerordning enligt ID 1-100,,,,,,
5,Daniel,Davis,35,,,,,,,,
6,Sarah,Miller,27,,U2.  Räkna ihop totala åldern på alla med hjälp av SumIf,,,,,,
7,David,Wilson,33,,,,,,,,
8,Laura,Moore,24,,U3. Räkna ut medelvärde på personalens ålder använd . Använd Average,,,,,,
9,James,Taylor,31,,,,,,,,
10,Jessica,Anderson,29,,"U4. Använd VLOOKUP för att lista ut ID nummer 66 vem det är ""First Name & Last Name""",,,,,,
11,Matthew,Thomas,26,,,,,,,,
12,Ashley,Jackson,23,,,,,,,,
13,Christopher,White,34,,,,,,,,
14,Amanda,Harris,32,,,,,,,,
15,Joshua,Martin,21,,total ålder,,medelålder,,U4.,,
16,Megan,Thompson,20,,2790,,27.9,,,,
17,Andrew,Garcia,36,,,,,,,,
18,Stephanie,Martinez,28,,,,,ID,First name,Last name,Age
19,Justin,Robinson,27,,,,,66,Megan,Ramirez,25
20,Brittany,Clark,29,,,,,,,,
21,Brandon,Rodriguez,33,,,,,,,,
22,Heather,Lewis,25,,,,,,,,
23,Samuel,Lee,31,,,,,,,,
24,Rebecca,Walker,30,,,,,,,,
25,Nathan,Hall,22,,,,,,,,
26,Kimberly,Allen,28,,,,,,,,
27,Adam,Young,35,,,,,,,,
28,Melissa,King,24,,,,,,,,
29,Tyler,Wright,27,,,,,,,,
30,Michelle,Scott,23,,,,,,,,
31,Zachary,Green,29,,,,,,,,
32,Rachel,Adams,26,,,,,,,,
33,Nicholas,Baker,31,,,,,,,,
34,Nicole,Gonzalez,30,,,,,,,,
35,Ryan,Nelson,22,,,,,,,,
36,Emily,Carter,25,,,,,,,,
37,Alexander,Mitchell,34,,,,,,,,
38,Angela,Perez,32,,,,,,,,
39,Jacob,Roberts,21,,,,,,,,
40,Lauren,Turner,20,,,,,,,,
41,Ethan,Phillips,36,,,,,,,,
42,Victoria,Campbell,28,,,,,,,,
43,Dylan,Parker,33,,,,,,,,
44,Olivia,Evans,25,,,,,,,,
45,Elijah,Edwards,31,,,,,,,,
46,Hannah,Collins,30,,,,,,,,
47,Christian,Stewart,22,,,,,,,,
48,Amanda,Sanchez,28,,,,,,,,
49,Aaron,Morris,35,,,,,,,,
50,Amber,Rogers,24,,,,,,,,
51,Kevin,Reed,27,,,,,,,,
52,Amy,Cook,23,,,,,,,,
53,Brian,Morgan,29,,,,,,,,
54,Anna,Bell,26,,,,,,,,
55,Justin,Murphy,31,,,,,,,,
56,Heather,Bailey,30,,,,,,,,
57,Jason,Rivera,22,,,,,,,,
58,Jessica,Cooper,25,,,,,,,,
59,Charles,Richardson,34,,,,,,,,
60,Brittany,Cox,32,,,,,,,,
61,Eric,Howard,21,,,,,,,,
62,Rachel,Ward,20,,,,,,,,
63,Thomas,Torres,36,,,,,,,,
64,Lauren,Peterson,28,,,,,,,,
65,Jonathan,Gray,33,,,,,,,,
66,Megan,Ramirez,25,,,,,,,,
67,Benjamin,James,31,,,,,,,,
68,Stephanie,Watson,30,,,,,,,,
69,Patrick,Brooks,22,,,,,,,,
70,Nicole,Kelly,28,,,,,,,,
71,Austin,Sanders,35,,,,,,,,
72,Victoria,Price,24,,,,,,,,
73,Alexander,Bennett,27,,,,,,,,
74,Samantha,Wood,23,,,,,,,,
75,Timothy,Barnes,29,,,,,,,,
76,Sarah,Ross,26,,,,,,,,
77,Nicholas,Henderson,31,,,,,,,,
78,Lauren,Coleman,30,,,,,,,,
79,Brandon,Jenkins,22,,,,,,,,
80,Megan,Perry,25,,,,,,,,
81,Andrew,Powell,34,,,,,,,,
82,Emily,Long,32,,,,,,,,
83,Ryan,Patterson,21,,,,,,,,
84,Heather,Hughes,20,,,,,,,,
85,Matthew,Flores,36,,,,,,,,
86,Jessica,Washington,28,,,,,,,,
87,David,Butler,33,,,,,,,,
88,Amanda,Simmons,25,,,,,,,,
89,James,Foster,31,,,,,,,,
90,Ashley,Gonzales,30,,,,,,,,
91,Jacob,Bryant,22,,,,,,,,
92,Brittany,Alexander,28,,,,,,,,
93,Tyler,Russell,35,,,,,,,,
94,Sarah,Griffin,24,,,,,,,,
95,Joshua,Diaz,27,,,,,,,,
96,Emily,Hayes,23,,,,,,,,
97,Andrew,Myers,29,,,,,,,,
98,Rebecca,Ford,26,,,,,,,,
99,Justin,Hamilton,31,,,,,,,,
100,Rachel,Graham,30,,,,,,,,
